DP,DPNOM,MPIO,DPMP,ANNO,AreaGeografica,Poblacion
05,Antioquia,05002,Abejorral,2029,Centros Poblados y Rural Disperso,"12,351"
05,Antioquia,05002,Abejorral,2029,Total,"22,094"
05,Antioquia,05002,Abejorral,2030,Cabecera Municipal,"9,798"
05,Antioquia,05002,Abejorral,2030,Centros Poblados y Rural Disperso,"12,404"
05,Antioquia,05002,Abejorral,2030,Total,"22,202"
05,Antioquia,05002,Abejorral,2031,Cabecera Municipal,"9,834"
05,Antioquia,05002,Abejorral,2031,Centros Poblados y Rural Disperso,"12,461"
05,Antioquia,05002,Abejorral,2031,Total,"22,295"
05,Antioquia,05002,Abejorral,2032,Cabecera Municipal,"9,880"
05,Antioquia,05002,Abejorral,2032,Centros Poblados y Rural Disperso,"12,522"
05,Antioquia,05002,Abejorral,2032,Total,"22,402"
05,Antioquia,05002,Abejorral,2033,Cabecera Municipal,"9,905"
05,Antioquia,05002,Abejorral,2033,Centros Poblados y Rural Disperso,"12,586"
05,Antioquia,05002,Abejorral,2033,Total,"22,491"
05,Antioquia,05002,Abejorral,2034,Cabecera Municipal,"9,925"
05,Antioquia,05002,Abejorral,2034,Centros Poblados y Rural Disperso,"12,659"
05,Antioquia,05002,Abejorral,2034,Total,"22,584"
05,Antioquia,05002,Abejorral,2035,Cabecera Municipal,"9,960"
05,Antioquia,05002,Abejorral,2035,Centros Poblados y Rural Disperso,"12,705"
05,Antioquia,05002,Abejorral,2035,Total,"22,665"
05,Antioquia,05004,Abriaquí,2020,Cabecera Municipal,859
05,Antioquia,05004,Abriaquí,2020,Centros Poblados y Rural Disperso,"1,916"
05,Antioquia,05004,Abriaquí,2020,Total,"2,775"
05,Antioquia,05004,Abriaquí,2021,Cabecera Municipal,904
05,Antioquia,05004,Abriaquí,2021,Centros Poblados y Rural Disperso,"1,873"
05,Antioquia,05004,Abriaquí,2021,Total,"2,777"
05,Antioquia,05004,Abriaquí,2022,Cabecera Municipal,948
05,Antioquia,05004,Abriaquí,2022,Centros Poblados y Rural Disperso,"1,856"
05,Antioquia,05004,Abriaquí,2022,Total,"2,804"
05,Antioquia,05004,Abriaquí,2023,Cabecera Municipal,992
05,Antioquia,05004,Abriaquí,2023,Centros Poblados y Rural Disperso,"1,849"
05,Antioquia,05004,Abriaquí,2023,Total,"2,841"
05,Antioquia,05004,Abriaquí,2024,Cabecera Municipal,999
05,Antioquia,05004,Abriaquí,2024,Centros Poblados y Rural Disperso,"1,856"
05,Antioquia,05004,Abriaquí,2024,Total,"2,855"
05,Antioquia,05004,Abriaquí,2025,Cabecera Municipal,"1,029"
05,Antioquia,05004,Abriaquí,2025,Centros Poblados y Rural Disperso,"1,843"
05,Antioquia,05004,Abriaquí,2025,Total,"2,872"
05,Antioquia,05004,Abriaquí,2026,Cabecera Municipal,"1,041"
05,Antioquia,05004,Abriaquí,2026,Centros Poblados y Rural Disperso,"1,862"
05,Antioquia,05004,Abriaquí,2026,Total,"2,903"
05,Antioquia,05004,Abriaquí,2027,Cabecera Municipal,"1,055"
05,Antioquia,05004,Abriaquí,2027,Centros Poblados y Rural Disperso,"1,864"
05,Antioquia,05004,Abriaquí,2027,Total,"2,919"
05,Antioquia,05004,Abriaquí,2028,Cabecera Municipal,"1,067"
05,Antioquia,05004,Abriaquí,2028,Centros Poblados y Rural Disperso,"1,869"
05,Antioquia,05004,Abriaquí,2028,Total,"2,936"
05,Antioquia,05004,Abriaquí,2029,Cabecera Municipal,"1,080"
05,Antioquia,05004,Abriaquí,2029,Centros Poblados y Rural Disperso,"1,871"
05,Antioquia,05004,Abriaquí,2029,Total,"2,951"
05,Antioquia,05004,Abriaquí,2030,Cabecera Municipal,"1,077"
05,Antioquia,05004,Abriaquí,2030,Centros Poblados y Rural Disperso,"1,890"
05,Antioquia,05004,Abriaquí,2030,Total,"2,967"
05,Antioquia,05004,Abriaquí,2031,Cabecera Municipal,"1,085"
05,Antioquia,05004,Abriaquí,2031,Centros Poblados y Rural Disperso,"1,898"
05,Antioquia,05004,Abriaquí,2031,Total,"2,983"
05,Antioquia,05004,Abriaquí,2032,Cabecera Municipal,"1,089"
05,Antioquia,05004,Abriaquí,2032,Centros Poblados y Rural Disperso,"1,900"
05,Antioquia,05004,Abriaquí,2032,Total,"2,989"
05,Antioquia,05004,Abriaquí,2033,Cabecera Municipal,"1,098"
05,Antioquia,05004,Abriaquí,2033,Centros Poblados y Rural Disperso,"1,910"
05,Antioquia,05004,Abriaquí,2033,Total,"3,008"
05,Antioquia,05004,Abriaquí,2034,Cabecera Municipal,"1,093"
05,Antioquia,05004,Abriaquí,2034,Centros Poblados y Rural Disperso,"1,916"
05,Antioquia,05004,Abriaquí,2034,Total,"3,009"
05,Antioquia,05004,Abriaquí,2035,Cabecera Municipal,"1,091"
05,Antioquia,05004,Abriaquí,2035,Centros Poblados y Rural Disperso,"1,930"
05,Antioquia,05004,Abriaquí,2035,Total,"3,021"
05,Antioquia,05021,Alejandría,2020,Cabecera Municipal,"2,687"
05,Antioquia,05021,Alejandría,2020,Centros Poblados y Rural Disperso,"2,103"
05,Antioquia,05021,Alejandría,2020,Total,"4,790"
05,Antioquia,05021,Alejandría,2021,Cabecera Municipal,"2,775"
